== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 11 models x 7 probes x n=3, budget $10.00 ==
FAIL P1         anthropic/claude-opus-5                r0 -  $0.0642
FAIL P1         anthropic/claude-opus-5                r1 -  $0.0895
FAIL P1         anthropic/claude-opus-5                r2 -  $0.1135
OK   P2         anthropic/claude-opus-5                r0 a  $0.1279
OK   P2         anthropic/claude-opus-5                r1 b  $0.1371
OK   P2         anthropic/claude-opus-5                r2 c  $0.1527
TRUNC P3         anthropic/claude-opus-5                r0 -  $0.1971
TRUNC P3         anthropic/claude-opus-5                r1 -  $0.2416
ERR  P3         anthropic/claude-opus-5                r2 -  $0.2416
       ApiError: {"message": "Overloaded", "code": 503}
FAIL P4         anthropic/claude-opus-5                r0 -  $0.2638
FAIL P4         anthropic/claude-opus-5                r1 -  $0.2919
FAIL P4         anthropic/claude-opus-5                r2 -  $0.3138
OK   P5         anthropic/claude-opus-5                r0 -  $0.3531
FAIL P5         anthropic/claude-opus-5                r1 -  $0.3968
OK   P5         anthropic/claude-opus-5                r2 -  $0.4358
N/A  P6         anthropic/claude-opus-5                r0 -  $0.4806
N/A  P6         anthropic/claude-opus-5                r1 -  $0.5137
N/A  P6         anthropic/claude-opus-5                r2 -  $0.5607
OK   P7         anthropic/claude-opus-5                r0 -  $0.6393
OK   P7         anthropic/claude-opus-5                r1 -  $0.7314
N/A  P7         anthropic/claude-opus-5                r2 -  $0.8148
ERR  P1         anthropic/claude-sonnet-5              r0 -  $0.8148
       ApiError: {"message": "Overloaded", "code": 503}
ERR  P1         anthropic/claude-sonnet-5              r1 -  $0.8148
       ApiError: {"message": "Overloaded", "code": 503}
ERR  P1         anthropic/claude-sonnet-5              r2 -  $0.8148
       ApiError: {"message": "Overloaded", "code": 503}
OK   P2         anthropic/claude-sonnet-5              r0 a  $0.8163
OK   P2         anthropic/claude-sonnet-5              r1 b  $0.8187
OK   P2         anthropic/claude-sonnet-5              r2 c  $0.8234
OK   P3         anthropic/claude-sonnet-5              r0 -  $0.8523
ERR  P3         anthropic/claude-sonnet-5              r1 -  $0.8523
       ApiError: {"message": "Overloaded", "code": 503}
OK   P3         anthropic/claude-sonnet-5              r2 -  $0.8644
TRUNC P4         anthropic/claude-sonnet-5              r0 -  $0.8821
TRUNC P4         anthropic/claude-sonnet-5              r1 -  $0.8998
FAIL P4         anthropic/claude-sonnet-5              r2 -  $0.9107
ERR  P5         anthropic/claude-sonnet-5              r0 -  $0.9107
       ApiError: {"message": "Overloaded", "code": 503}
FAIL P5         anthropic/claude-sonnet-5              r1 -  $0.9283
FAIL P5         anthropic/claude-sonnet-5              r2 -  $0.9458
ERR  P6         anthropic/claude-sonnet-5              r0 -  $0.9634
