== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 1 models x 18 probes x n=25, budget $1.00 ==
workers: 6

OK   P1         openai/gpt-5.6-luna                    r4 -  $0.0002  [1/450, ~26m left]
OK   P1         openai/gpt-5.6-luna                    r5 -  $0.0010  [2/450, ~13m left]
FAIL P1         openai/gpt-5.6-luna                    r2 -  $0.0012  [3/450, ~10m left]
OK   P1         openai/gpt-5.6-luna                    r3 -  $0.0015  [4/450, ~9m left]
OK   P1         openai/gpt-5.6-luna                    r0 -  $0.0018  [5/450, ~9m left]
OK   P1         openai/gpt-5.6-luna                    r6 -  $0.0020  [6/450, ~8m left]
OK   P1         openai/gpt-5.6-luna                    r1 -  $0.0024  [7/450, ~8m left]
OK   P1         openai/gpt-5.6-luna                    r8 -  $0.0027  [8/450, ~7m left]
OK   P1         openai/gpt-5.6-luna                    r9 -  $0.0029  [9/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r7 -  $0.0031  [10/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r10 -  $0.0034  [11/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r11 -  $0.0036  [12/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r12 -  $0.0038  [13/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r14 -  $0.0040  [14/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r13 -  $0.0043  [15/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r17 -  $0.0044  [16/450, ~6m left]
OK   P1         openai/gpt-5.6-luna                    r15 -  $0.0046  [17/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r16 -  $0.0048  [18/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r18 -  $0.0050  [19/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r19 -  $0.0053  [20/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r20 -  $0.0055  [21/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r23 -  $0.0058  [22/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r22 -  $0.0060  [23/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r21 -  $0.0062  [24/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r0 -  $0.0064  [25/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r1 -  $0.0066  [26/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r2 -  $0.0067  [27/450, ~5m left]
OK   P1         openai/gpt-5.6-luna                    r24 -  $0.0071  [28/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r3 -  $0.0073  [29/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r5 -  $0.0081  [30/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r4 -  $0.0083  [31/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r7 -  $0.0084  [32/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r6 -  $0.0087  [33/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r8 -  $0.0089  [34/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r10 -  $0.0091  [35/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r9 -  $0.0093  [36/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r12 -  $0.0094  [37/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r14 -  $0.0096  [38/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r13 -  $0.0098  [39/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r11 -  $0.0101  [40/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r15 -  $0.0103  [41/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r16 -  $0.0105  [42/450, ~5m left]
OK   P10        openai/gpt-5.6-luna                    r17 -  $0.0107  [43/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r19 -  $0.0109  [44/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r20 -  $0.0110  [45/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r18 -  $0.0112  [46/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r21 -  $0.0114  [47/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r22 -  $0.0116  [48/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r24 -  $0.0118  [49/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r1 -  $0.0120  [50/450, ~4m left]
OK   P10        openai/gpt-5.6-luna                    r23 -  $0.0122  [51/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r0 -  $0.0125  [52/450, ~4m left]
FAIL P11        openai/gpt-5.6-luna                    r2 -  $0.0127  [53/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r6 -  $0.0129  [54/450, ~4m left]
FAIL P11        openai/gpt-5.6-luna                    r7 -  $0.0131  [55/450, ~5m left]
OK   P11        openai/gpt-5.6-luna                    r4 -  $0.0135  [56/450, ~4m left]
FAIL P11        openai/gpt-5.6-luna                    r5 -  $0.0139  [57/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r3 -  $0.0143  [58/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r8 -  $0.0146  [59/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r12 -  $0.0148  [60/450, ~5m left]
FAIL P11        openai/gpt-5.6-luna                    r10 -  $0.0150  [61/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r13 -  $0.0153  [62/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r11 -  $0.0156  [63/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r9 -  $0.0160  [64/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r14 -  $0.0162  [65/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r20 -  $0.0164  [66/450, ~5m left]
OK   P11        openai/gpt-5.6-luna                    r15 -  $0.0168  [67/450, ~5m left]
OK   P11        openai/gpt-5.6-luna                    r18 -  $0.0172  [68/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r19 -  $0.0176  [69/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r17 -  $0.0185  [70/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r16 -  $0.0189  [71/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r23 -  $0.0192  [72/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r21 -  $0.0194  [73/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r24 -  $0.0212  [74/450, ~5m left]
OK   P11        openai/gpt-5.6-luna                    r22 -  $0.0226  [75/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r2 a  $0.0228  [76/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r1 b  $0.0233  [77/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r0 a  $0.0235  [78/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r3 b  $0.0243  [79/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r4 a  $0.0250  [80/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r8 a  $0.0284  [81/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r6 a  $0.0294  [82/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r5 b  $0.0296  [83/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r7 b  $0.0299  [84/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r9 b  $0.0301  [85/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r10 a  $0.0305  [86/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r11 b  $0.0342  [87/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r13 b  $0.0347  [88/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r15 b  $0.0359  [89/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r16 a  $0.0364  [90/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r14 a  $0.0366  [91/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r12 a  $0.0375  [92/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r17 b  $0.0395  [93/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r18 a  $0.0400  [94/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r20 a  $0.0411  [95/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r19 b  $0.0421  [96/450, ~6m left]
